step	train_accuracy
0	0.8828958880139982
1	0.8466097987751532
2	0.783180227471566
3	0.8828958880139982
4	0.8465441819772529
5	0.783180227471566
6	0.8828958880139982
7	0.8465223097112862
8	0.783180227471566
9	0.8828958880139982
10	1.0
11	1.0
12	1.0
13	1.0
14	0.9603455818022747
15	0.9235345581802274
16	0.9545931758530184
17	1.0
