step	train_precision
0	0.8896680173207088
1	0.8551054044463111
2	0.7564780770836372
3	0.8896680173207088
4	0.855054291442948
5	0.7564780770836372
6	0.8896680173207088
7	0.8550478641655829
8	0.7564780770836372
9	0.8896680173207088
10	1.0
11	1.0
12	1.0
13	1.0
14	0.9674956255938716
15	0.9215978462653414
16	0.9606495821868096
17	1.0
